Hadith,reference
"Relacjonował Anas Ibn Malik, niech Bóg będzie z niego rad, że Prorok, niech będzie z nim pokój i miłosierdzie, powiedział: Jeśli muzułmaninowi umrze troje dzieci, które nie osiągnęły dojrzałości, Bóg wprowadzi go do Raju za sprawą Jego Miłosierdzia względem nich.
",Sahih al-Buchari
"Relacjonowała ‘A’isza, niech Bóg będzie z niej rad, że do Proroka, niech będzie z nim pokój i miłosierdzie, przyszedł pewien koczownik i powiedział mu: – Całujecie swoje dzieci?! My ich nie całujemy! – Cóż mam uczynić, jeśli Bóg pozbawił twoje serce miłosierdzia? – odparł Prorok.
",Sahih al-Buchari
"Relacjonował ‘Umar Ibn al-Chattab, niech Bóg będzie z niego rad, że wśród przyprowadzonych pewnego razu jeńców była karmiąca kobieta, która gdy znalazła dziecko, brała je do siebie i karmiła (mając nadzieję, że odnalazła swoje zagubione dziecko).  – Czy myślicie, że ta kobieta mogłaby wrzucić swoje dziecko do ognia? – spytał nas Prorok, niech będzie z nim pokój i miłosierdzie. – Oczywiście, że nie, jeśli będzie w stanie do tego nie dopuścić! – odparliśmy. – Bóg jest bardziej miłosierny dla Swoich sług niż ta kobieta dla swojego dziecka!
",Sahih al-Buchari
"Przekazał Abu Hurajra, niech Bóg będzie z niego rad, że słyszał, jak Posłaniec Boga, niech będzie z nim pokój i miłosierdzie, powiedział: Bóg podzielił miłosierdzie na sto części. Dziewięćdziesiąt dziewięć zatrzymał u Siebie, a jedną wysłał na Ziemię. To za sprawą tej części stworzenia miłują się nawzajem, tak że konie odsuwają kopyta dalej od swoich dzieci, by nie nadepnąć na nie.
",Sahih al-Buchari
"Relacjonował Abu Hurajra, niech Bóg będzie z niego rad: Podczas jednej z modlitw, ktorą odmówiliśmy wraz z Posłańcem Boga, niech będzie z nim pokój i miłosierdzie, pewien koczownik powiedział: „Boże, zmiłuj się nade mną i Muhammadem i nikim więcej!” Po zakończeniu modlitwy taslimem Prorok powiedział mu: Zawężyłeś to, co jest niezwykle szerokie (tj. Miłosierdzie Boże).
",Sahih al-Buchari
"Przekazał An-Nu’man Ibn Baszir, niech Bóg będzie z niego rad, że Posłaniec Boga, niech będzie z nim pokój i miłosierdzie, powiedział: Wierni, obdarzający się wzajemnie miłosierdziem, miłością i współczuciem, są niczym jedno ciało: jeśli choć jedna jego część niedomaga, dotyka je bezsenność i gorączka.
",Sahih al-Buchari
"Przekazał Anas Ibn Malik, niech Bóg będzie z niego rad, że Prorok, niech będzie z nim pokój i miłosierdzie, powiedział: Jeśli muzułmanin posadzi drzewo, z którego jeść będzie człowiek lub zwierzę, będzie mu to policzone jako jałmużna.
",Sahih al-Buchari
"Przekazał Dżarir Ibn ‘Abd Allah al-Badżali, niech Bóg będzie z niego rad, że Prorok, niech będzie z nim pokój i miłosierdzie, powiedział: Nie dostąpi miłosierdzia ten, kto nie przejawia go wobec innych.
",Sahih al-Buchari
"Przekazała ‘A’isza, niech Bóg będzie z niej rad, że Prorok, niech będzie z nim pokój i miłosierdzie, powiedział: (Archanioł) Gabriel tak często nakazywał mi dobre traktowanie sąsiadów, aż pomyślałem, że uczyni ich w liczbie moich spadkobierców.
",Sahih al-Buchari
"Relacjonował Abu Szurajh, niech Bóg będzie z niego rad, że Prorok, niech będzie z nim pokój i miłosierdzie, powiedział: – Na Boga, nie wierzy! Na Boga, nie wierzy! Na Boga, nie wierzy! – Kto taki? – spytano. – Ten, od kogo zła nie jest bezpieczny jego sąsiad.
",Sahih al-Buchari
"Przekazał Abu Hurajra, niech Bóg będzie z niego rad, że Posłaniec Boga, niech będzie z nim pokój i miłosierdzie, powiedział: Kto wierzy w Boga i Dzień Ostatni, niech nie krzywdzi swojego sąsiada; kto wierzy w Boga i Dzień Ostatni, niech hojnie podejmuje swojego gościa; kto wierzy w Boga i Dzień Ostatni, niech mówi dobre słowa lub milczy.
",Sahih al-Buchari
"Przekazał Dżabir Ibn ‘Abd Allah, niech Bóg będzie z nich rad, że Prorok, niech będzie z nim pokój i miłosierdzie, powiedział: Każdy dobry uczynek jest jałmużną.
",Sahih al-Buchari
"Przekazała ‘A’isza, niech Bóg będzie z niej rad, że Posłaniec Boga, niech będzie z nim pokój i miłosierdzie, powiedział: Zaprawdę, Bóg lubi, by przejawiać dobroć w każdej sprawie.
",Sahih al-Buchari
"Przekazał Abu Musa, że Prorok, niech będzie z nim pokój i miłosierdzie, powiedział: Wierni są dla siebie nawzajem niczym cegły budowli, które podtrzymują jedna drugą – po czym połączył palce.
",Sahih al-Buchari
"Przekazał Anas Ibn Malik, niech Bóg będzie z niego rad: Prorok, niech będzie z nim pokój i miłosierdzie, nie obrażał nikogo, nie mówił niegodziwych rzeczy ani nie przeklinał nikogo. Gdy chciał napomnieć kogoś z nas, mówił: Co z nim? Niech jego czoło pokryje się pyłem (tj. niech więcej się modli)!
",Sahih al-Buchari
"Przekazał Dżabir, niech Bóg będzie z niego rad, że nie zdarzyło się nigdy, by Prorok, niech będzie z nim pokój i miłosierdzie, powiedział nie, gdy o coś go proszono.",Sahih al-Buchari
"Służyłem Prorokowi, niech będzie z nim pokój i miłosierdzie, przez dziesięć lat, i ani razu nie powiedział mi: „Uff!” (z niezadowolenia), ani „Czemu to zrobiłeś?!” lub „Czemu tego nie zrobiłeś?!”",Sahih al-Buchari
"Przekazał Anas Ibn Malik, niech Bóg będzie z niego rad, że Posłaniec Boga, niech będzie z nim pokój i miłosierdzie, powiedział: Nie nienawidźcie siebie nawzajem, nie żywcie wobec siebie zawiści, nie odwracajcie się od siebie plecami, lecz bądźcie – o, słudzy Boży – braćmi! Nie wolno muzułmaninowi zerwać kontaktu z jego bratem na dłużej niż trzy dni.
",Sahih al-Buchari
"Przekazał Abu Hurajra, niech Bóg będzie z niego rad, że Prorok, niech będzie z nim pokój i miłosierdzie, powiedział: Strzeżcie się podejrzeń, albowiem podejrzenia to najbardziej fałszywa mowa, nie poszukujcie niedostatków u innych ludzi, nie szpiegujcie się nawzajem, nie podwyższajcie ceny (w zmowie ze sprzedawcą, by prawdziwy kupujący zapłacił więcej), nie żywcie wobec siebie zawiści, nie odwracajcie się do siebie plecami i nie nienawidźcie siebie nawzajem, lecz bądźcie – o, słudzy Boży – braćmi!
",Sahih al-Buchari
"Przekazał Abu Ajjub al-Ansari, niech Bóg będzie z niego rad, że Posłaniec Boga, niech będzie z nim pokój i miłosierdzie, powiedział: Nie wolno zrywać kontaktu z bratem na dłużej niż trzy dni, podczas których gdy widzą się, jeden odwraca się od drugiego. Lepszym spośród nich jest ten, kto pierwszy pozdrowi drugiego.
",Sahih al-Buchari
"Przekazał Abu Hurajra, niech Bóg będzie z niego rad, że Posłaniec Boga, niech będzie z nim pokój i miłosierdzie, powiedział: Nie jest silnym ten, kto często zwycięża, lecz ten, kto panuje nad sobą, gdy jest zagniewany.
",Sahih al-Buchari
"Przekazał ‘Imran Ibn Husajn, niech Bóg będzie z niego rad, że Prorok, niech będzie z nim pokój i miłosierdzie, powiedział: Wstydliwość zawsze przynosi dobro.
",Sahih al-Buchari
"Relacjonował Ibn ‘Abbas, niech Bóg będzie z niego rad: Posłaniec Boga był najbardziej hojnym spośród ludzi, a najbardziej szczodry był w ramadanie, gdy każdej nocy spotykał go Gabriel, by nauczać go Koranu. Zaprawdę, Posłaniec Boga, niech będzie z nim pokój i miłosierdzie, był bardziej szczodry od porywistego wiatru (przynoszącego życiodajny deszcz).
",Sahih al-Buchari
"Przekazał An-Nu'man ibn Baszir że Prorok Muhammad (ﷺ) powiedział: Przykładem wiernych we wzajemnej miłości, miłosierdziu i współczuciu jest jedno ciało: jeśli jedna jego część cierpi, całe ciało reaguje bezsennością i gorączką
",Sahih Muslim
"Abu Musa przekazał, że Prorok (ﷺ) powiedział: Wierzący wobec drugiego wierzącego jest jak budowla, której różne części wzmacniają się nawzajem",Sahih al-Buchari/Sahih Muslim
"Przekazał Kathir ibn Qays: Kathir ibn Qays powiedział: Siedziałem z AbudDardą w meczecie w Damaszku. Przyszedł do niego pewien człowiek i powiedział: AbudDarda, przybyłem do ciebie z miasta Posłańca Allah (ﷺ) z powodu tradycji, którą usłyszałem od Posłańca Allah (ﷺ). Nie przybyłem w żadnym innym celu. Powiedział: Słyszałem, jak Posłaniec Allah (ﷺ) powiedział: Jeśli ktoś podróżuje drogą w poszukiwaniu wiedzy, Allah sprawi, że będzie podróżował jedną z dróg Raju. Aniołowie opuszczą skrzydła w swojej wielkiej przyjemności z tym, kto szuka wiedzy, mieszkańcy niebios i Ziemi oraz ryby w głębinach będą prosić o przebaczenie dla uczonego człowieka. Wyższość uczonego nad pobożnym jest jak wyższość księżyca, w noc, gdy jest w pełni, nad resztą gwiazd. Uczeni są dziedzicami Proroków, a Prorocy nie pozostawiają ani dinara, ani dirhama, pozostawiając jedynie wiedzę, a ten, kto ją bierze, bierze obfitą porcję.",Sunan Abi Dawud 3641
"Prorok (ﷺ) powiedział: „Kiedy Allah kocha niewolnika, woła Jibrila i mówi: „Kocham tego i tego; więc go kochaj”. Wtedy Jibril go kocha. Po tym on (Jibril) ogłasza mieszkańcom niebios, że Allah kocha tego i tego; więc go kochaj; a mieszkańcy niebios (aniołowie) również go kochają, a następnie sprawiają, że ludzie na ziemi go kochają”.",Riyad as-Salihin 387
"Przekazano od Abu Hurairah, że Posłaniec Allah (ﷺ) powiedział: „Kiedy recytujący mówi Amin, to powiedz Amin, ponieważ aniołowie mówią Amin, a jeśli Amin danej osoby pokrywa się z Amin (wypowiedzianym przez) aniołów, jej poprzednie grzechy zostaną odpuszczone”.",Sunan Ibn Majah 851
"Przekazał Abu Huraira: Prorok (ﷺ) powiedział: „Każdego dnia dwaj aniołowie zstępują z Nieba i jeden z nich mówi: 'O Allah! Zrekompensuj każdemu, kto wydaje na Twoją Sprawę', a drugi (anioł) mówi: 'O Allah! Zniszcz każdego skąpca'.",Sahih al-Bukhari 1442
"Yahya przekazał mi od Malika od Yahya ibn Said, że Said ibn al-Musayyab zwykł mawiać: „Ktokolwiek modli się na bezwodnej, spustoszonej ziemi – anioł modli się po jego prawej stronie, oraz anioł modli się po jego lewej stronie. Następnie, gdy wzywa do modlitwy (poprzez adhan i iqama), lub woła iqama, aniołowie jak góry modlą się za nim”.",Muwatta Malik
"Relacjonował Anas, że Prorok ﷺ powiedział: ""Wyjdzie z Ognia Piekielnego ten, kto mówił, że nie ma bóstwa prócz Boga Jedynego, a w jego sercu będzie dobro choćby na wagę ziarenka jęczmienia; i wyjdzie z Ognia Piekielnego ten, kto mówił, że nie ma bóstwa prócz Boga Jedynego, a w jego sercu będzie dobro choćby na wagę ziarenka pszenicy; i wyjdzie z Ognia Piekielnego ten, kto mówił, że nie ma bóstwa prócz Boga Jedynego, a w jego sercu będzie dobro choćby na wagę pyłku.""",Sahih al-Bukhari 44
"`Umar b. Muhammad b. Zaid b. `Abdullah b. `Umar b. al-Khattab przekazał na podstawie autorytetu swego ojca `Abdullah b. `Umara, że ​​Posłaniec Allah (ﷺ) powiedział: Kiedy mieszkańcy Raju pójdą do Raju, a mieszkańcy Piekła pójdą do Piekła, śmierć zostanie wezwana i umieszczona między Rajem a Piekłem, a następnie zabita, a następnie ogłaszający ogłosi: O mieszkańcy Raju, nie ma śmierci. O mieszkańcy Ognia Piekielnego, nie ma śmierci. I zwiększy to radość mieszkańców Raju i zwiększy smutek mieszkańców Ognia Piekielnego.",Sahih Muslim 2850b
"Abu Huraira przekazał, że Posłaniec Allah (ﷺ) powiedział: Do Raju wejdą ludzie, których serca będą jak serca ptaków.",Sahih Muslim 2840
"Haritha b. Wahb al-KhuzaIi przekazała, że Posłaniec Allah (ﷺ) powiedział: Czy nie mogę poinformować cię o mieszkańcach Raju? (A następnie informując o nich) powiedział: Każda potulna osoba, która jest uważana za pokorną, a jeśli miałaby zaklinać w imię Allah, Allah z pewnością by to spełnił. Czy nie mogę poinformować cię o mieszkańcach Ognia Piekielnego? Wszyscy są dumni, podli i wyniośli.",Sahih Muslim 2853c
"Anas b. Malik przekazał, że Posłaniec Allah (ﷺ) powiedział mu: Kiedy niewierzący czyni dobro, zostaje mu dane zakosztować Jego nagrody na tym świecie. A jeśli chodzi o wierzącego, Allah przechowuje (nagrodę) jego cnót na życie pozagrobowe i zapewnia mu utrzymanie zgodnie z jego posłuszeństwem wobec Niego.",Sahih Muslim 2808b
"Przekazał Sahl: Słyszałem Proroka (ﷺ) mówiącego: „(Małe) miejsce równe powierzchni zajmowanej przez bicz w Raju jest lepsze niż (cały) świat i wszystko, co się w nim znajduje; a przedsięwzięcie (podróż) przed południem lub po południu dla sprawy Allah jest lepsze niż cały świat i wszystko, co się w nim znajduje”.",Sahih al-Bukhari 6415
"Buraida opowiadał, że kiedy pewien człowiek zapytał Bożego posłańca, czy w raju są konie, ten odpowiedział: „Jeśli Bóg wprowadzi cię do raju, nie będziesz chciał być w nim przewożony na koniu z czerwonego rubinu, który poleci z tobą w raju, gdziekolwiek zechcesz, nie czyniąc tego”. Pewien człowiek zapytał Bożego posłańca, czy w raju są wielbłądy, a ten nie udzielił mu tej samej odpowiedzi, co tamtemu, lecz powiedział: „Jeśli Bóg wprowadzi cię do raju, będziesz miał to, czego pragnie twoja dusza i czym cieszy się twoje oko”.",Mishkat al-Masabih 5642
"Abu Sa'id al-Khudri i Abu Huraira obaj przekazali, że Posłaniec Allah (ﷺ) powiedział: Będzie zwiastun (w Raju), który wygłosi to ogłoszenie: Zaprawdę, jest dla was (wieczne) zdrowie i że nigdy nie zachorujecie i że będziecie żyć (na zawsze) i wcale nie umrzecie. I że pozostaniecie młodzi i nigdy się nie zestarzejecie. I że zawsze będziecie żyć w dostatnich warunkach i nigdy nie popadniecie w nędzę, jak mówią słowa Allah, Wzniosłego i Chwalebnego: Zostaliście stworzeni, aby go odziedziczyć za to, co czyniliście"". ",Sahih Muslim 2837
"Abu Huraira przekazał, że Posłaniec Allah (ﷺ) powiedział: W Raju jest drzewo, w cieniu którego jeździec może podróżować przez sto lat.",Sahih Muslim 2826a
"Abu Sa'id al-Khudri przekazał, że Apostoł Allah (ﷺ) powiedział, że Allah powie do mieszkańców Raju: O, Mieszkańcy Raju, a oni powiedzieliby w odpowiedzi: Na Twoją służbę i upodobanie, Panie nasz, dobro jest w Twojej Ręce. On (Pan) powiedziałby: Czy jesteście teraz zadowoleni? Oni powiedzieliby: Dlaczego nie mielibyśmy być zadowoleni, Panie, skoro dałeś nam to, czego nie dałeś żadnemu ze swoich stworzeń? On jednak powiedziałby: Czy nie mogę dać wam (czegoś) jeszcze wspanialszego niż to? A oni powiedzieliby: Panie, cóż może być wspanialszego od tego? A On powiedziałby: Sprawię, że spłynie na was Moja przyjemność i nigdy potem nie będę wami zdenerwowany.",Sahih Muslim 2829
"Abu Sa'id al-Khudri przekazał, że Posłaniec Allah (ﷺ) powiedział: Mieszkańcy Raju widzieliby mieszkańców mieszkania nad nimi tak, jak wy widzicie świecące planety, które pozostają na wschodnim i zachodnim horyzoncie z powodu wyższości, jaką jedni mają nad innymi. Oni powiedzieli: Posłańcu Allah, czy w tych siedzibach apostołów inni poza nimi nie mogliby dotrzeć? On powiedział: Tak, dosięgną do nich, przez Tego, w którego ręku jest moje życie, ci, którzy wierzą w Boga i uznają Prawdę.",Sahih Muslim 2831b
"Anas b. Malik przekazał, że Posłaniec Allah (ﷺ) powiedział: W Raju jest ulica, na którą będą przychodzić w każdy piątek. Północny wiatr będzie wiał i rozproszy zapach na ich twarzach i ubraniach i doda im piękna i urody, a potem wrócą do swojej rodziny po dodaniu blasku do ich piękna i urody, a ich rodzina powie do nich: Na Allah, wzrosłeś w urodzie i piękności po opuszczeniu nas, a oni powiedzieliby: Na Allah, ty również wzrosłaś w urodzie i wdzięku po nas.",Sahih Muslim 2833
"Muhammad przekazał, że niektórzy (ludzie) stwierdzili z poczuciem dumy, a niektórzy dyskutowali, czy w Raju będzie więcej mężczyzn, czy więcej kobiet. Na tej podstawie Abu Huraira przekazał, że Abu'l Qasim (Święty Prorok) (ﷺ) powiedział: (Członkowie) pierwszej grupy, która dostanie się do Raju będą mieli twarze tak jasne jak księżyc w pełni podczas nocy, a następni po tej grupie będą mieli twarze tak jasne jak świecące gwiazdy na niebie i każdy człowiek będzie miał dwie żony, a szpik ich podudzi będzie błyszczał pod ciałem i nie będzie nikogo bez żony w Raju.",Sahih Muslim 2834a
"Jabir relacjonował: Słyszałem Apostoła Allah (ﷺ) jak mówił, że mieszkańcy Raju będą jeść i pić, ale nie będą ani pluć, ani oddawać wody, ani wypróżniać się, ani cierpieć na katar. Powiedziano: W takim razie, co stanie się z jedzeniem? Wtedy on powiedział: Będą bekać i pocić się (i to będzie koniec z ich jedzeniem), a ich pot będzie taki jak piżmo i będą wysławiać i chwalić Allah z taką łatwością jak ty oddychasz.",Sahih Muslim 2835a
"Abu Huraira przekazał, że Apostoł Allah (ﷺ) powiedział: Ten, kto dostałby się do Raju (zostałby stworzony, aby cieszyć się taką wieczną) błogością, że ani nie zostałby pozbawiony środków do życia, ani jego ubrania nie zużyłyby się, ani jego młodość nie przeminie.",Sahih Muslim 2836
"Abu Huraira przekazał, że Posłaniec Allah (ﷺ) powiedział: Saihan, Jaihan, Eufrat i Nil należą do rzek Raju.",Sahih Muslim 2839
"Narrat Sahl: Prorok (ﷺ) powiedział: ""W Raju jest brama zwana Ar-Raiyan i ci, którzy przestrzegają postu wejdą przez nią w Dniu Zmartwychwstania i nikt oprócz nich nie wejdzie przez nią. Zostanie powiedziane: „Gdzie są ci, którzy zwykli przestrzegać postu?”. Oni wstaną i nikt oprócz nich nie wejdzie przez nią. Po ich wejściu brama zostanie zamknięta i nikt przez nią nie wejdzie"".",Sahih al-Bukhari 1896
